Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,4,5,28,23,0,121.390,121.536,121.372,121.509,1688.000,
EURJPY,2017,4,5,28,22,0,121.389,121.421,121.338,121.393,2091.000,
EURJPY,2017,4,5,28,21,0,121.430,121.435,121.360,121.390,2777.000,
EURJPY,2017,4,5,28,20,0,121.361,121.451,121.358,121.429,2742.000,
EURJPY,2017,4,5,28,19,0,121.367,121.439,121.346,121.362,3188.000,
EURJPY,2017,4,5,28,18,0,121.436,121.461,121.365,121.367,2984.000,
EURJPY,2017,4,5,28,17,0,121.524,121.545,121.415,121.437,2230.000,
EURJPY,2017,4,5,28,16,0,121.455,121.546,121.431,121.526,2966.000,
EURJPY,2017,4,5,28,15,0,121.455,121.468,121.395,121.454,2657.000,
EURJPY,2017,4,5,28,14,0,121.410,121.457,121.338,121.457,3611.000,
EURJPY,2017,4,5,28,13,0,121.389,121.469,121.347,121.409,3964.000,
EURJPY,2017,4,5,28,12,0,121.394,121.556,121.273,121.388,6237.000,
EURJPY,2017,4,5,28,11,0,121.525,121.675,121.272,121.395,6898.000,
EURJPY,2017,4,5,28,10,0,121.702,121.761,121.424,121.525,6650.000,
EURJPY,2017,4,5,28,9,0,121.784,121.806,121.615,121.703,6434.000,
EURJPY,2017,4,5,28,8,0,121.738,121.786,121.628,121.780,5037.000,
EURJPY,2017,4,5,28,7,0,121.738,121.939,121.731,121.738,8539.000,
EURJPY,2017,4,5,28,6,0,121.791,121.845,121.686,121.747,4196.000,
EURJPY,2017,4,5,28,5,0,121.764,121.800,121.700,121.793,3285.000,
EURJPY,2017,4,5,28,4,0,121.912,121.922,121.699,121.764,4137.000,
EURJPY,2017,4,5,28,3,0,121.854,121.987,121.844,121.911,2803.000,
EURJPY,2017,4,5,28,2,0,121.943,121.978,121.853,121.854,3171.000,
EURJPY,2017,4,5,28,1,0,121.813,121.994,121.813,121.948,4091.000,
EURJPY,2017,4,5,28,0,0,121.284,121.951,121.283,121.813,8005.000,
EURJPY,2017,4,4,27,23,0,121.286,121.305,121.195,121.287,3980.000,
EURJPY,2017,4,4,27,22,0,121.133,121.323,121.107,121.283,4038.000,
EURJPY,2017,4,4,27,21,0,121.092,121.193,121.074,121.132,3150.000,
EURJPY,2017,4,4,27,20,0,121.039,121.219,121.039,121.092,4331.000,
EURJPY,2017,4,4,27,19,0,120.889,121.106,120.874,121.037,3365.000,
EURJPY,2017,4,4,27,18,0,120.745,120.940,120.743,120.894,3317.000,
EURJPY,2017,4,4,27,17,0,120.732,120.782,120.706,120.746,3377.000,
EURJPY,2017,4,4,27,16,0,120.694,120.756,120.687,120.733,2290.000,
EURJPY,2017,4,4,27,15,0,120.781,120.808,120.692,120.694,2343.000,
EURJPY,2017,4,4,27,14,0,120.763,120.800,120.758,120.779,1143.000,
EURJPY,2017,4,4,27,13,0,120.816,120.818,120.759,120.763,1188.000,
EURJPY,2017,4,4,27,12,0,120.772,120.874,120.746,120.817,1899.000,
EURJPY,2017,4,4,27,11,0,120.829,120.832,120.753,120.771,1990.000,
EURJPY,2017,4,4,27,10,0,120.772,120.849,120.765,120.831,1905.000,
EURJPY,2017,4,4,27,9,0,120.835,120.837,120.685,120.773,3299.000,
EURJPY,2017,4,4,27,8,0,120.831,120.877,120.724,120.835,2828.000,
EURJPY,2017,4,4,27,7,0,120.864,120.912,120.752,120.829,3188.000,
EURJPY,2017,4,4,27,6,0,120.838,121.009,120.831,120.865,3179.000,
EURJPY,2017,4,4,27,5,0,120.789,120.849,120.762,120.837,1889.000,
EURJPY,2017,4,4,27,4,0,120.938,120.938,120.790,120.790,1756.000,
EURJPY,2017,4,4,27,3,0,121.010,121.017,120.938,120.942,1510.000,
EURJPY,2017,4,4,27,2,0,120.970,121.043,120.949,121.008,1662.000,
EURJPY,2017,4,4,27,1,0,120.950,120.991,120.930,120.970,645.000,
EURJPY,2017,4,4,27,0,0,120.988,120.993,120.944,120.950,340.000,
