Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,4,0,23,0,0,121.390,121.536,121.372,121.509,1688.000,
EURJPY,2017,4,0,16,0,0,121.389,121.421,121.338,121.393,2091.000,
EURJPY,2017,4,0,9,0,0,121.430,121.435,121.360,121.390,2777.000,
EURJPY,2017,4,0,2,0,0,121.361,121.451,121.358,121.429,2742.000,
EURJPY,2017,3,0,26,0,0,121.367,121.439,121.346,121.362,3188.000,
EURJPY,2017,3,0,19,0,0,121.436,121.461,121.365,121.367,2984.000,
EURJPY,2017,3,0,12,0,0,121.524,121.545,121.415,121.437,2230.000,
EURJPY,2017,3,0,5,0,0,121.455,121.546,121.431,121.526,2966.000,
EURJPY,2017,2,0,26,0,0,121.455,121.468,121.395,121.454,2657.000,
EURJPY,2017,2,0,19,0,0,121.410,121.457,121.338,121.457,3611.000,
EURJPY,2017,2,0,12,0,0,121.389,121.469,121.347,121.409,3964.000,
EURJPY,2017,2,0,5,0,0,121.394,121.556,121.273,121.388,6237.000,
EURJPY,2017,1,0,29,0,0,121.525,121.675,121.272,121.395,6898.000,
EURJPY,2017,1,0,22,0,0,121.702,121.761,121.424,121.525,6650.000,
EURJPY,2017,1,0,15,0,0,121.784,121.806,121.615,121.703,6434.000,
EURJPY,2017,1,0,8,0,0,121.738,121.786,121.628,121.780,5037.000,
EURJPY,2017,1,0,1,0,0,121.738,121.939,121.731,121.738,8539.000,
EURJPY,2016,12,0,25,0,0,121.791,121.845,121.686,121.747,4196.000,
EURJPY,2016,12,0,18,0,0,121.764,121.800,121.700,121.793,3285.000,
EURJPY,2016,12,0,11,0,0,121.912,121.922,121.699,121.764,4137.000,
EURJPY,2016,12,0,4,0,0,121.854,121.987,121.844,121.911,2803.000,
EURJPY,2016,11,0,27,0,0,121.943,121.978,121.853,121.854,3171.000,
EURJPY,2016,11,0,20,0,0,121.813,121.994,121.813,121.948,4091.000,
EURJPY,2016,11,0,13,0,0,121.284,121.951,121.283,121.813,8005.000,
EURJPY,2016,11,0,6,0,0,121.286,121.305,121.195,121.287,3980.000,
EURJPY,2016,10,0,30,0,0,121.133,121.323,121.107,121.283,4038.000,
EURJPY,2016,10,0,23,0,0,121.092,121.193,121.074,121.132,3150.000,
EURJPY,2016,10,0,16,0,0,121.039,121.219,121.039,121.092,4331.000,
EURJPY,2016,10,0,9,0,0,120.889,121.106,120.874,121.037,3365.000,
EURJPY,2016,10,0,2,0,0,120.745,120.940,120.743,120.894,3317.000,
EURJPY,2016,9,0,25,0,0,120.732,120.782,120.706,120.746,3377.000,
EURJPY,2016,9,0,18,0,0,120.694,120.756,120.687,120.733,2290.000,
EURJPY,2016,9,0,11,0,0,120.781,120.808,120.692,120.694,2343.000,
EURJPY,2016,9,0,4,0,0,120.763,120.800,120.758,120.779,1143.000,
EURJPY,2016,8,0,28,0,0,120.816,120.818,120.759,120.763,1188.000,
EURJPY,2016,8,0,21,0,0,120.772,120.874,120.746,120.817,1899.000,
EURJPY,2016,8,0,14,0,0,120.829,120.832,120.753,120.771,1990.000,
EURJPY,2016,8,0,7,0,0,120.772,120.849,120.765,120.831,1905.000,
EURJPY,2016,7,0,31,0,0,120.835,120.837,120.685,120.773,3299.000,
EURJPY,2016,7,0,24,0,0,120.831,120.877,120.724,120.835,2828.000,
EURJPY,2016,7,0,17,0,0,120.864,120.912,120.752,120.829,3188.000,
EURJPY,2016,7,0,10,0,0,120.838,121.009,120.831,120.865,3179.000,
EURJPY,2016,7,0,3,0,0,120.789,120.849,120.762,120.837,1889.000,
EURJPY,2016,6,0,26,0,0,120.938,120.938,120.790,120.790,1756.000,
EURJPY,2016,6,0,19,0,0,121.010,121.017,120.938,120.942,1510.000,
EURJPY,2016,6,0,12,0,0,120.970,121.043,120.949,121.008,1662.000,
EURJPY,2016,6,0,5,0,0,120.950,120.991,120.930,120.970,645.000,
EURJPY,2016,5,0,29,0,0,120.988,120.993,120.944,120.950,340.000,
EURJPY,2016,5,0,22,0,0,120.904,120.978,120.901,120.959,2223.000,
EURJPY,2016,5,0,15,0,0,120.912,120.952,120.892,120.903,2503.000,
EURJPY,2016,5,0,8,0,0,121.003,121.016,120.899,120.914,3281.000,
EURJPY,2016,5,0,1,0,0,121.010,121.019,120.925,121.003,3316.000,
EURJPY,2016,4,0,24,0,0,120.948,121.044,120.947,121.010,3426.000,
EURJPY,2016,4,0,17,0,0,121.003,121.032,120.901,120.948,3107.000,
EURJPY,2016,4,0,10,0,0,121.008,121.030,120.938,121.003,3256.000,
EURJPY,2016,4,0,3,0,0,121.017,121.059,120.934,121.008,4001.000,
EURJPY,2016,3,0,27,0,0,120.818,121.019,120.815,121.014,3442.000,
EURJPY,2016,3,0,20,0,0,120.718,120.947,120.699,120.821,4301.000,
EURJPY,2016,3,0,13,0,0,120.779,120.826,120.600,120.717,4916.000,
EURJPY,2016,3,0,6,0,0,120.813,120.850,120.713,120.778,5894.000,
EURJPY,2016,2,0,28,0,0,121.041,121.055,120.734,120.817,7104.000,
EURJPY,2016,2,0,21,0,0,121.168,121.235,121.008,121.041,6440.000,
EURJPY,2016,2,0,14,0,0,121.286,121.288,120.916,121.169,8043.000,
EURJPY,2016,2,0,7,0,0,121.400,121.423,120.921,121.285,9222.000,
EURJPY,2016,1,0,31,0,0,121.268,121.886,121.235,121.398,11253.000,
EURJPY,2016,1,0,24,0,0,121.294,121.383,121.230,121.271,5223.000,
EURJPY,2016,1,0,17,0,0,121.387,121.397,121.154,121.297,5202.000,
EURJPY,2016,1,0,10,0,0,121.327,121.404,121.314,121.391,2740.000,
EURJPY,2016,1,0,3,0,0,121.397,121.425,121.305,121.326,3171.000,
EURJPY,2015,12,0,27,0,0,121.225,121.402,121.191,121.397,2741.000,
EURJPY,2015,12,0,20,0,0,121.264,121.310,121.184,121.225,3569.000,
EURJPY,2015,12,0,13,0,0,121.447,121.474,121.246,121.267,4095.000,
EURJPY,2015,12,0,6,0,0,121.513,121.629,121.378,121.448,4174.000,
EURJPY,2015,11,0,29,0,0,121.337,121.543,121.285,121.513,4335.000,
EURJPY,2015,11,0,22,0,0,121.396,121.433,121.272,121.337,4275.000,
EURJPY,2015,11,0,15,0,0,121.415,121.579,121.333,121.397,5209.000,
EURJPY,2015,11,0,8,0,0,121.274,121.413,121.263,121.413,3740.000,
EURJPY,2015,11,0,1,0,0,121.226,121.316,121.215,121.275,3659.000,
EURJPY,2015,10,0,25,0,0,121.302,121.311,121.223,121.225,2132.000,
EURJPY,2015,10,0,18,0,0,121.322,121.338,121.270,121.302,2418.000,
EURJPY,2015,10,0,11,0,0,121.329,121.351,121.268,121.323,2230.000,
EURJPY,2015,10,0,4,0,0,121.260,121.350,121.225,121.328,2541.000,
EURJPY,2015,9,0,27,0,0,121.361,121.379,121.229,121.260,2900.000,
EURJPY,2015,9,0,20,0,0,121.408,121.426,121.303,121.359,3556.000,
EURJPY,2015,9,0,13,0,0,121.400,121.473,121.349,121.407,3426.000,
EURJPY,2015,9,0,6,0,0,121.416,121.424,121.357,121.401,2658.000,
EURJPY,2015,8,0,30,0,0,121.442,121.453,121.319,121.417,2598.000,
EURJPY,2015,8,0,23,0,0,121.342,121.478,121.331,121.438,2751.000,
EURJPY,2015,8,0,16,0,0,121.391,121.452,121.339,121.339,2822.000,
EURJPY,2015,8,0,9,0,0,121.268,121.459,121.245,121.391,3349.000,
EURJPY,2015,8,0,2,0,0,121.272,121.332,121.265,121.267,2079.000,
EURJPY,2015,7,0,26,0,0,121.294,121.294,121.219,121.273,1788.000,
EURJPY,2015,7,0,19,0,0,121.297,121.315,121.239,121.293,2836.000,
EURJPY,2015,7,0,12,0,0,121.146,121.311,121.084,121.294,4056.000,
EURJPY,2015,7,0,5,0,0,121.121,121.142,121.054,121.142,780.000,
EURJPY,2015,6,0,28,0,0,121.028,121.141,121.022,121.119,376.000,
EURJPY,2015,6,0,21,0,0,121.118,121.119,120.909,121.075,2253.000,
EURJPY,2015,6,0,14,0,0,121.119,121.188,121.106,121.116,2370.000,
EURJPY,2015,6,0,7,0,0,121.367,121.381,121.051,121.120,5068.000,
EURJPY,2015,5,0,31,0,0,121.362,121.421,121.342,121.367,4014.000,
EURJPY,2015,5,0,24,0,0,121.284,121.395,121.255,121.363,5466.000,
EURJPY,2015,5,0,17,0,0,121.290,121.403,121.206,121.283,8144.000,
EURJPY,2015,5,0,10,0,0,121.454,121.477,121.201,121.285,8789.000,
EURJPY,2015,5,0,3,0,0,121.481,121.533,121.401,121.453,3976.000,
EURJPY,2015,4,0,26,0,0,121.343,121.552,121.295,121.481,4589.000,
EURJPY,2015,4,0,19,0,0,121.247,121.372,121.227,121.340,4890.000,
EURJPY,2015,4,0,12,0,0,121.430,121.433,121.129,121.248,6915.000,
EURJPY,2015,4,0,5,0,0,121.362,121.540,121.339,121.430,6603.000,
EURJPY,2015,3,0,29,0,0,121.484,121.520,121.224,121.360,7576.000,
EURJPY,2015,3,0,22,0,0,121.330,121.483,121.275,121.483,5868.000,
EURJPY,2015,3,0,15,0,0,121.234,121.441,121.215,121.334,6842.000,
EURJPY,2015,3,0,8,0,0,121.343,121.347,121.055,121.233,6272.000,
EURJPY,2015,3,0,1,0,0,121.339,121.676,121.294,121.342,8448.000,
EURJPY,2015,2,0,22,0,0,121.289,121.390,121.261,121.342,4474.000,
EURJPY,2015,2,0,15,0,0,121.117,121.326,121.108,121.290,4156.000,
EURJPY,2015,2,0,8,0,0,121.095,121.184,121.059,121.117,3449.000,
EURJPY,2015,2,0,1,0,0,121.072,121.142,120.954,121.096,4405.000,
EURJPY,2015,1,0,25,0,0,121.313,121.313,121.054,121.072,3488.000,
EURJPY,2015,1,0,18,0,0,121.216,121.332,121.186,121.313,4309.000,
EURJPY,2015,1,0,11,0,0,121.268,121.313,121.165,121.215,3993.000,
EURJPY,2015,1,0,4,0,0,121.300,121.398,121.117,121.266,5091.000,
EURJPY,2014,12,0,28,0,0,121.390,121.511,121.261,121.300,4746.000,
EURJPY,2014,12,0,21,0,0,121.696,121.722,121.308,121.389,5637.000,
EURJPY,2014,12,0,14,0,0,121.750,121.873,121.635,121.696,4597.000,
EURJPY,2014,12,0,7,0,0,121.905,121.920,121.674,121.750,4336.000,
EURJPY,2014,11,0,30,0,0,121.927,121.927,121.780,121.906,5008.000,
EURJPY,2014,11,0,23,0,0,121.886,121.931,121.832,121.928,2784.000,
EURJPY,2014,11,0,16,0,0,121.747,121.973,121.747,121.885,3493.000,
EURJPY,2014,11,0,9,0,0,121.684,121.789,121.676,121.746,2413.000,
EURJPY,2014,11,0,2,0,0,121.603,121.691,121.583,121.686,1950.000,
EURJPY,2014,10,0,26,0,0,121.647,121.652,121.580,121.604,1827.000,
EURJPY,2014,10,0,19,0,0,121.695,121.707,121.637,121.647,1786.000,
EURJPY,2014,10,0,12,0,0,121.638,121.710,121.591,121.694,2163.000,
