Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,4,5,28,0,0,121.390,121.536,121.372,121.509,1688.000,
EURJPY,2017,4,4,27,0,0,121.389,121.421,121.338,121.393,2091.000,
EURJPY,2017,4,3,26,0,0,121.430,121.435,121.360,121.390,2777.000,
EURJPY,2017,4,2,25,0,0,121.361,121.451,121.358,121.429,2742.000,
EURJPY,2017,4,1,24,0,0,121.367,121.439,121.346,121.362,3188.000,
EURJPY,2017,4,5,21,0,0,121.436,121.461,121.365,121.367,2984.000,
EURJPY,2017,4,4,20,0,0,121.524,121.545,121.415,121.437,2230.000,
EURJPY,2017,4,3,19,0,0,121.455,121.546,121.431,121.526,2966.000,
EURJPY,2017,4,2,18,0,0,121.455,121.468,121.395,121.454,2657.000,
EURJPY,2017,4,1,17,0,0,121.410,121.457,121.338,121.457,3611.000,
EURJPY,2017,4,5,14,0,0,121.389,121.469,121.347,121.409,3964.000,
EURJPY,2017,4,4,13,0,0,121.394,121.556,121.273,121.388,6237.000,
EURJPY,2017,4,3,12,0,0,121.525,121.675,121.272,121.395,6898.000,
EURJPY,2017,4,2,11,0,0,121.702,121.761,121.424,121.525,6650.000,
EURJPY,2017,4,1,10,0,0,121.784,121.806,121.615,121.703,6434.000,
EURJPY,2017,4,5,7,0,0,121.738,121.786,121.628,121.780,5037.000,
EURJPY,2017,4,4,6,0,0,121.738,121.939,121.731,121.738,8539.000,
EURJPY,2017,4,3,5,0,0,121.791,121.845,121.686,121.747,4196.000,
EURJPY,2017,4,2,4,0,0,121.764,121.800,121.700,121.793,3285.000,
EURJPY,2017,4,1,3,0,0,121.912,121.922,121.699,121.764,4137.000,
EURJPY,2017,3,5,31,0,0,121.854,121.987,121.844,121.911,2803.000,
EURJPY,2017,3,4,30,0,0,121.943,121.978,121.853,121.854,3171.000,
EURJPY,2017,3,3,29,0,0,121.813,121.994,121.813,121.948,4091.000,
EURJPY,2017,3,2,28,0,0,121.284,121.951,121.283,121.813,8005.000,
EURJPY,2017,3,1,27,0,0,121.286,121.305,121.195,121.287,3980.000,
EURJPY,2017,3,5,24,0,0,121.133,121.323,121.107,121.283,4038.000,
EURJPY,2017,3,4,23,0,0,121.092,121.193,121.074,121.132,3150.000,
EURJPY,2017,3,3,22,0,0,121.039,121.219,121.039,121.092,4331.000,
EURJPY,2017,3,2,21,0,0,120.889,121.106,120.874,121.037,3365.000,
EURJPY,2017,3,1,20,0,0,120.745,120.940,120.743,120.894,3317.000,
EURJPY,2017,3,5,17,0,0,120.732,120.782,120.706,120.746,3377.000,
EURJPY,2017,3,4,16,0,0,120.694,120.756,120.687,120.733,2290.000,
EURJPY,2017,3,3,15,0,0,120.781,120.808,120.692,120.694,2343.000,
EURJPY,2017,3,2,14,0,0,120.763,120.800,120.758,120.779,1143.000,
EURJPY,2017,3,1,13,0,0,120.816,120.818,120.759,120.763,1188.000,
EURJPY,2017,3,5,10,0,0,120.772,120.874,120.746,120.817,1899.000,
EURJPY,2017,3,4,9,0,0,120.829,120.832,120.753,120.771,1990.000,
EURJPY,2017,3,3,8,0,0,120.772,120.849,120.765,120.831,1905.000,
EURJPY,2017,3,2,7,0,0,120.835,120.837,120.685,120.773,3299.000,
EURJPY,2017,3,1,6,0,0,120.831,120.877,120.724,120.835,2828.000,
EURJPY,2017,3,5,3,0,0,120.864,120.912,120.752,120.829,3188.000,
EURJPY,2017,3,4,2,0,0,120.838,121.009,120.831,120.865,3179.000,
EURJPY,2017,3,3,1,0,0,120.789,120.849,120.762,120.837,1889.000,
EURJPY,2017,2,2,28,0,0,120.938,120.938,120.790,120.790,1756.000,
EURJPY,2017,2,1,27,0,0,121.010,121.017,120.938,120.942,1510.000,
EURJPY,2017,2,5,24,0,0,120.970,121.043,120.949,121.008,1662.000,
EURJPY,2017,2,4,23,0,0,120.950,120.991,120.930,120.970,645.000,
EURJPY,2017,2,3,22,0,0,120.988,120.993,120.944,120.950,340.000,
EURJPY,2017,2,2,21,0,0,120.904,120.978,120.901,120.959,2223.000,
EURJPY,2017,2,1,20,0,0,120.912,120.952,120.892,120.903,2503.000,
EURJPY,2017,2,5,17,0,0,121.003,121.016,120.899,120.914,3281.000,
EURJPY,2017,2,4,16,0,0,121.010,121.019,120.925,121.003,3316.000,
EURJPY,2017,2,3,15,0,0,120.948,121.044,120.947,121.010,3426.000,
EURJPY,2017,2,2,14,0,0,121.003,121.032,120.901,120.948,3107.000,
EURJPY,2017,2,1,13,0,0,121.008,121.030,120.938,121.003,3256.000,
EURJPY,2017,2,5,10,0,0,121.017,121.059,120.934,121.008,4001.000,
EURJPY,2017,2,4,9,0,0,120.818,121.019,120.815,121.014,3442.000,
EURJPY,2017,2,3,8,0,0,120.718,120.947,120.699,120.821,4301.000,
EURJPY,2017,2,2,7,0,0,120.779,120.826,120.600,120.717,4916.000,
EURJPY,2017,2,1,6,0,0,120.813,120.850,120.713,120.778,5894.000,
EURJPY,2017,2,5,3,0,0,121.041,121.055,120.734,120.817,7104.000,
EURJPY,2017,2,4,2,0,0,121.168,121.235,121.008,121.041,6440.000,
EURJPY,2017,2,3,1,0,0,121.286,121.288,120.916,121.169,8043.000,
EURJPY,2017,1,2,31,0,0,121.400,121.423,120.921,121.285,9222.000,
EURJPY,2017,1,1,30,0,0,121.268,121.886,121.235,121.398,11253.000,
EURJPY,2017,1,5,27,0,0,121.294,121.383,121.230,121.271,5223.000,
EURJPY,2017,1,4,26,0,0,121.387,121.397,121.154,121.297,5202.000,
EURJPY,2017,1,3,25,0,0,121.327,121.404,121.314,121.391,2740.000,
EURJPY,2017,1,2,24,0,0,121.397,121.425,121.305,121.326,3171.000,
EURJPY,2017,1,1,23,0,0,121.225,121.402,121.191,121.397,2741.000,
EURJPY,2017,1,5,20,0,0,121.264,121.310,121.184,121.225,3569.000,
EURJPY,2017,1,4,19,0,0,121.447,121.474,121.246,121.267,4095.000,
EURJPY,2017,1,3,18,0,0,121.513,121.629,121.378,121.448,4174.000,
EURJPY,2017,1,2,17,0,0,121.337,121.543,121.285,121.513,4335.000,
EURJPY,2017,1,1,16,0,0,121.396,121.433,121.272,121.337,4275.000,
EURJPY,2017,1,5,13,0,0,121.415,121.579,121.333,121.397,5209.000,
EURJPY,2017,1,4,12,0,0,121.274,121.413,121.263,121.413,3740.000,
EURJPY,2017,1,3,11,0,0,121.226,121.316,121.215,121.275,3659.000,
EURJPY,2017,1,2,10,0,0,121.302,121.311,121.223,121.225,2132.000,
EURJPY,2017,1,1,9,0,0,121.322,121.338,121.270,121.302,2418.000,
EURJPY,2017,1,5,6,0,0,121.329,121.351,121.268,121.323,2230.000,
EURJPY,2017,1,4,5,0,0,121.260,121.350,121.225,121.328,2541.000,
EURJPY,2017,1,3,4,0,0,121.361,121.379,121.229,121.260,2900.000,
EURJPY,2017,1,2,3,0,0,121.408,121.426,121.303,121.359,3556.000,
EURJPY,2017,1,1,2,0,0,121.400,121.473,121.349,121.407,3426.000,
EURJPY,2016,12,5,30,0,0,121.416,121.424,121.357,121.401,2658.000,
EURJPY,2016,12,4,29,0,0,121.442,121.453,121.319,121.417,2598.000,
EURJPY,2016,12,3,28,0,0,121.342,121.478,121.331,121.438,2751.000,
EURJPY,2016,12,2,27,0,0,121.391,121.452,121.339,121.339,2822.000,
EURJPY,2016,12,1,26,0,0,121.268,121.459,121.245,121.391,3349.000,
EURJPY,2016,12,5,23,0,0,121.272,121.332,121.265,121.267,2079.000,
EURJPY,2016,12,4,22,0,0,121.294,121.294,121.219,121.273,1788.000,
EURJPY,2016,12,3,21,0,0,121.297,121.315,121.239,121.293,2836.000,
EURJPY,2016,12,2,20,0,0,121.146,121.311,121.084,121.294,4056.000,
EURJPY,2016,12,1,19,0,0,121.121,121.142,121.054,121.142,780.000,
EURJPY,2016,12,5,16,0,0,121.028,121.141,121.022,121.119,376.000,
EURJPY,2016,12,4,15,0,0,121.118,121.119,120.909,121.075,2253.000,
EURJPY,2016,12,3,14,0,0,121.119,121.188,121.106,121.116,2370.000,
EURJPY,2016,12,2,13,0,0,121.367,121.381,121.051,121.120,5068.000,
EURJPY,2016,12,1,12,0,0,121.362,121.421,121.342,121.367,4014.000,
EURJPY,2016,12,5,9,0,0,121.284,121.395,121.255,121.363,5466.000,
EURJPY,2016,12,4,8,0,0,121.290,121.403,121.206,121.283,8144.000,
EURJPY,2016,12,3,7,0,0,121.454,121.477,121.201,121.285,8789.000,
EURJPY,2016,12,2,6,0,0,121.481,121.533,121.401,121.453,3976.000,
EURJPY,2016,12,1,5,0,0,121.343,121.552,121.295,121.481,4589.000,
EURJPY,2016,12,5,2,0,0,121.247,121.372,121.227,121.340,4890.000,
EURJPY,2016,12,4,1,0,0,121.430,121.433,121.129,121.248,6915.000,
EURJPY,2016,11,3,30,0,0,121.362,121.540,121.339,121.430,6603.000,
EURJPY,2016,11,2,29,0,0,121.484,121.520,121.224,121.360,7576.000,
EURJPY,2016,11,1,28,0,0,121.330,121.483,121.275,121.483,5868.000,
EURJPY,2016,11,5,25,0,0,121.234,121.441,121.215,121.334,6842.000,
EURJPY,2016,11,4,24,0,0,121.343,121.347,121.055,121.233,6272.000,
EURJPY,2016,11,3,23,0,0,121.339,121.676,121.294,121.342,8448.000,
EURJPY,2016,11,2,22,0,0,121.289,121.390,121.261,121.342,4474.000,
EURJPY,2016,11,1,21,0,0,121.117,121.326,121.108,121.290,4156.000,
EURJPY,2016,11,5,18,0,0,121.095,121.184,121.059,121.117,3449.000,
EURJPY,2016,11,4,17,0,0,121.072,121.142,120.954,121.096,4405.000,
EURJPY,2016,11,3,16,0,0,121.313,121.313,121.054,121.072,3488.000,
EURJPY,2016,11,2,15,0,0,121.216,121.332,121.186,121.313,4309.000,
EURJPY,2016,11,1,14,0,0,121.268,121.313,121.165,121.215,3993.000,
EURJPY,2016,11,5,11,0,0,121.300,121.398,121.117,121.266,5091.000,
EURJPY,2016,11,4,10,0,0,121.390,121.511,121.261,121.300,4746.000,
EURJPY,2016,11,3,9,0,0,121.696,121.722,121.308,121.389,5637.000,
EURJPY,2016,11,2,8,0,0,121.750,121.873,121.635,121.696,4597.000,
EURJPY,2016,11,1,7,0,0,121.905,121.920,121.674,121.750,4336.000,
EURJPY,2016,11,5,4,0,0,121.927,121.927,121.780,121.906,5008.000,
EURJPY,2016,11,4,3,0,0,121.886,121.931,121.832,121.928,2784.000,
EURJPY,2016,11,3,2,0,0,121.747,121.973,121.747,121.885,3493.000,
EURJPY,2016,11,2,1,0,0,121.684,121.789,121.676,121.746,2413.000,
EURJPY,2016,10,1,31,0,0,121.603,121.691,121.583,121.686,1950.000,
EURJPY,2016,10,5,28,0,0,121.647,121.652,121.580,121.604,1827.000,
EURJPY,2016,10,4,27,0,0,121.695,121.707,121.637,121.647,1786.000,
EURJPY,2016,10,3,26,0,0,121.638,121.710,121.591,121.694,2163.000,
EURJPY,2016,10,2,25,0,0,121.690,121.719,121.620,121.636,2366.000,
EURJPY,2016,10,1,24,0,0,121.593,121.697,121.550,121.689,3682.000,
EURJPY,2016,10,5,21,0,0,121.722,121.749,121.567,121.593,3513.000,
EURJPY,2016,10,4,20,0,0,121.731,121.859,121.717,121.722,3973.000,
EURJPY,2016,10,3,19,0,0,121.373,121.748,121.344,121.732,4655.000,
EURJPY,2016,10,2,18,0,0,121.328,121.386,121.258,121.373,2866.000,
EURJPY,2016,10,1,17,0,0,121.296,121.379,121.289,121.328,2127.000,
EURJPY,2016,10,5,14,0,0,121.355,121.384,121.288,121.296,2172.000,
EURJPY,2016,10,4,13,0,0,121.370,121.418,121.339,121.354,3182.000,
EURJPY,2016,10,3,12,0,0,121.351,121.406,121.339,121.368,1062.000,
EURJPY,2016,10,2,11,0,0,121.375,121.428,121.314,121.351,738.000,
EURJPY,2016,10,1,10,0,0,121.506,121.510,121.355,121.360,2477.000,
EURJPY,2016,10,5,7,0,0,121.513,121.525,121.445,121.507,1927.000,
EURJPY,2016,10,4,6,0,0,121.448,121.532,121.388,121.513,2772.000,
EURJPY,2016,10,3,5,0,0,121.492,121.526,121.406,121.448,3125.000,
EURJPY,2016,10,2,4,0,0,121.535,121.571,121.459,121.492,3074.000,
EURJPY,2016,10,1,3,0,0,121.351,121.566,121.324,121.536,3457.000,
EURJPY,2016,9,5,30,0,0,121.359,121.395,121.301,121.353,2860.000,
EURJPY,2016,9,4,29,0,0,121.505,121.539,121.335,121.357,3547.000,
EURJPY,2016,9,3,28,0,0,121.528,121.580,121.456,121.505,3432.000,
EURJPY,2016,9,2,27,0,0,121.318,121.641,121.295,121.529,4707.000,
EURJPY,2016,9,1,26,0,0,121.275,121.416,121.239,121.318,4750.000,
EURJPY,2016,9,5,23,0,0,121.156,121.312,121.019,121.274,6137.000,
EURJPY,2016,9,4,22,0,0,120.916,121.160,120.891,121.155,6340.000,
EURJPY,2016,9,3,21,0,0,120.543,120.999,120.510,120.913,8888.000,
EURJPY,2016,9,2,20,0,0,120.542,120.627,120.493,120.547,6353.000,
EURJPY,2016,9,1,19,0,0,120.488,120.640,120.371,120.540,5179.000,
EURJPY,2016,9,5,16,0,0,120.500,120.550,120.412,120.489,4766.000,
EURJPY,2016,9,4,15,0,0,120.289,120.516,120.286,120.498,5286.000,
EURJPY,2016,9,3,14,0,0,120.162,120.295,120.146,120.288,3779.000,
EURJPY,2016,9,2,13,0,0,120.117,120.189,120.114,120.162,3277.000,
EURJPY,2016,9,1,12,0,0,120.086,120.146,120.017,120.116,3618.000,
EURJPY,2016,9,5,9,0,0,120.109,120.210,120.085,120.085,3714.000,
EURJPY,2016,9,4,8,0,0,120.425,120.453,120.085,120.109,4700.000,
EURJPY,2016,9,3,7,0,0,120.328,120.446,120.297,120.426,3679.000,
EURJPY,2016,9,2,6,0,0,120.159,120.351,120.151,120.329,3793.000,
EURJPY,2016,9,1,5,0,0,120.072,120.235,120.059,120.160,4153.000,
EURJPY,2016,9,5,2,0,0,120.111,120.174,120.036,120.072,5100.000,
EURJPY,2016,9,4,1,0,0,119.955,120.114,119.908,120.112,5867.000,
EURJPY,2016,8,3,31,0,0,119.742,120.043,119.718,119.954,4277.000,
EURJPY,2016,8,2,30,0,0,119.674,119.790,119.649,119.738,3984.000,
EURJPY,2016,8,1,29,0,0,119.597,119.758,119.594,119.675,4073.000,
EURJPY,2016,8,5,26,0,0,119.532,119.635,119.530,119.596,1956.000,
EURJPY,2016,8,4,25,0,0,119.627,119.663,119.521,119.532,2514.000,
EURJPY,2016,8,3,24,0,0,119.486,119.645,119.470,119.626,2682.000,
EURJPY,2016,8,2,23,0,0,119.531,119.569,119.454,119.486,2723.000,
EURJPY,2016,8,1,22,0,0,119.565,119.582,119.529,119.534,1530.000,
EURJPY,2016,8,5,19,0,0,119.500,119.612,119.492,119.566,2877.000,
EURJPY,2016,8,4,18,0,0,119.256,119.510,119.256,119.501,4178.000,
EURJPY,2016,8,3,17,0,0,119.310,119.420,119.251,119.256,3620.000,
EURJPY,2016,8,2,16,0,0,119.332,119.396,119.283,119.309,3453.000,
EURJPY,2016,8,1,15,0,0,119.324,119.400,119.219,119.331,3118.000,
EURJPY,2016,8,5,12,0,0,119.107,119.336,119.106,119.325,3158.000,
EURJPY,2016,8,4,11,0,0,119.237,119.238,119.058,119.107,2417.000,
EURJPY,2016,8,3,10,0,0,119.344,119.344,119.222,119.238,1291.000,
EURJPY,2016,8,2,9,0,0,119.349,119.360,119.291,119.344,1479.000,
EURJPY,2016,8,1,8,0,0,119.275,119.356,119.243,119.351,2155.000,
EURJPY,2016,8,5,5,0,0,119.222,119.291,119.217,119.272,1269.000,
EURJPY,2016,8,4,4,0,0,119.232,119.287,119.215,119.223,507.000,
EURJPY,2016,8,3,3,0,0,119.213,119.281,119.213,119.268,1857.000,
EURJPY,2016,8,2,2,0,0,119.233,119.271,119.170,119.213,2165.000,
EURJPY,2016,8,1,1,0,0,119.208,119.266,119.176,119.234,2949.000,
EURJPY,2016,7,5,29,0,0,119.170,119.252,119.170,119.209,2698.000,
EURJPY,2016,7,4,28,0,0,119.202,119.214,119.119,119.168,3454.000,
EURJPY,2016,7,3,27,0,0,119.115,119.293,119.052,119.201,3929.000,
EURJPY,2016,7,2,26,0,0,119.173,119.201,119.024,119.116,3246.000,
EURJPY,2016,7,1,25,0,0,119.020,119.199,119.015,119.174,3502.000,
EURJPY,2016,7,5,22,0,0,119.123,119.171,118.912,119.018,3719.000,
EURJPY,2016,7,4,21,0,0,119.040,119.171,118.961,119.124,3896.000,
EURJPY,2016,7,3,20,0,0,119.238,119.327,119.041,119.044,4441.000,
EURJPY,2016,7,2,19,0,0,119.346,119.501,119.209,119.237,6201.000,
EURJPY,2016,7,1,18,0,0,119.558,119.573,119.313,119.344,6474.000,
EURJPY,2016,7,5,15,0,0,119.664,119.746,119.486,119.558,5473.000,
EURJPY,2016,7,4,14,0,0,119.779,119.791,119.640,119.664,6757.000,
EURJPY,2016,7,3,13,0,0,119.585,119.802,119.581,119.778,4902.000,
EURJPY,2016,7,2,12,0,0,119.667,119.699,119.546,119.586,5161.000,
EURJPY,2016,7,1,11,0,0,119.489,119.682,119.488,119.667,5027.000,
EURJPY,2016,7,5,8,0,0,119.624,119.656,119.476,119.486,4127.000,
EURJPY,2016,7,4,7,0,0,119.608,119.713,119.568,119.626,3732.000,
EURJPY,2016,7,3,6,0,0,119.684,119.700,119.488,119.608,3796.000,
EURJPY,2016,7,2,5,0,0,119.795,119.879,119.658,119.684,3640.000,
EURJPY,2016,7,1,4,0,0,119.715,119.832,119.660,119.796,4241.000,
EURJPY,2016,7,5,1,0,0,119.592,119.734,119.488,119.716,4538.000,
EURJPY,2016,6,4,30,0,0,119.668,119.698,119.444,119.593,4699.000,
EURJPY,2016,6,3,29,0,0,119.500,119.742,119.495,119.668,5610.000,
EURJPY,2016,6,2,28,0,0,119.389,119.664,119.320,119.500,5933.000,
EURJPY,2016,6,1,27,0,0,119.485,119.538,119.221,119.390,7233.000,
EURJPY,2016,6,5,24,0,0,119.495,119.524,119.242,119.484,6799.000,
EURJPY,2016,6,4,23,0,0,119.772,119.830,119.496,119.496,7048.000,
EURJPY,2016,6,3,22,0,0,119.541,119.930,119.435,119.772,5063.000,
EURJPY,2016,6,2,21,0,0,119.515,119.604,119.437,119.539,3253.000,
EURJPY,2016,6,1,20,0,0,119.294,119.526,119.264,119.515,3093.000,
EURJPY,2016,6,5,17,0,0,119.295,119.328,119.271,119.294,1907.000,
EURJPY,2016,6,4,16,0,0,119.375,119.384,119.287,119.294,2458.000,
EURJPY,2016,6,3,15,0,0,119.303,119.395,119.245,119.376,2933.000,
EURJPY,2016,6,2,14,0,0,119.118,119.314,119.083,119.304,3125.000,
EURJPY,2016,6,1,13,0,0,119.259,119.306,118.987,119.119,4678.000,
